gvkey,formyear,filename,subfolder,filetype,is_esef,esef_filetype,filing_date,size_bytes,size_mb,last_modified,created
233158,2023,infas_JALABE.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/233158/2023/infas_holding_2024-04-30_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-04-30,28611,0.02728557586669922,2025-02-01 06:51:05.068581,2025-02-01 06:51:05.123998
278436,2020,yoc.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2020/yoc_Jahres-_2021-07-22_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2021-07-22,1613478,1.5387325286865234,2025-02-01 10:41:43.822694,2025-02-01 10:41:43.921768
278436,2021,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2021/yoc_Jahresabschluss_2022-04-28_esef_xmls,ESEF,True,ESEF Report XHTML file,2022-04-28,2337749,2.2294511795043945,2025-02-01 10:41:11.492209,2025-02-01 10:41:11.521330
278436,2023,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2023/yoc_Jahres-_2024-05-10_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-05-10,2090936,1.9940719604492188,2025-02-01 10:40:24.350650,2025-02-01 10:40:24.408675
278436,2022,391200YTK6VMV8JTZV90-2022-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2022/yoc_Konzernabschluss_2023-05-02_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2023-05-02,3328614,3.1744136810302734,2025-02-01 10:40:44.410187,2025-02-01 10:40:44.429414
317079,2022,Versicherung_gesetzlicher_Vertreter_SE_XHTML.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/317079/2022/scout24_Jahresabschluss_2023-05-17_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-05-17,129156,0.12317276000976562,2025-02-01 13:19:58.861701,2025-02-01 13:19:58.909008
278436,2022,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2022/yoc_Jahresabschluss_2023-04-26_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-04-26,3633091,3.464785575866699,2025-02-01 10:40:53.496989,2025-02-01 10:40:53.517548
317079,2022,Versicherung_gesetztlicher_Vertreter_XHTML.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/317079/2022/scout24_Konzernabschluss_2023-05-17_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-05-17,143112,0.13648223876953125,2025-02-01 13:19:16.594630,2025-02-01 13:19:16.711255
233158,2022,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/233158/2022/infas_holding_2023-05-12_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-05-12,1038850,0.9907245635986328,2025-02-01 06:51:52.516165,2025-02-01 06:51:52.532040
317079,2023,Scout24_Konzern_Versicherung_der_gesetzlichen_Vertreter.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/317079/2023/scout24_Konzernabschluss_2024-04-12_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-04-12,182731,0.17426586151123047,2025-02-01 13:19:07.356115,2025-02-01 13:19:07.467180
233158,2022,894500H144ZW4YW6FJ39-2022-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/233158/2022/infas_holding_2023-05-04_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2023-05-04,2003908,1.9110755920410156,2025-02-01 06:52:12.196343,2025-02-01 06:52:12.312784
103176,2022,thyssenkrupp_AG_LB_ESEF-2022-09-30.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/103176/2022/thyssenkrupp_Jahres-_2023-02-01_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-02-01,9330712,8.898460388183594,2025-01-31 22:09:57.457789,2025-01-31 22:09:57.580601
317079,2023,Scout24_Einzelabschluss_Versicherung_der_gesetzlichen_Vertreter.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/317079/2023/scout24_Jahresabschluss_2024-04-12_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-04-12,182373,0.17392444610595703,2025-02-01 13:19:53.242233,2025-02-01 13:19:53.342093
233158,2021,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/233158/2021/infas_holding_2022-05-05_esef_xmls,ESEF,True,ESEF Report XHTML file,2022-05-05,1318181,1.257115364074707,2025-02-01 06:52:36.583004,2025-02-01 06:52:36.598888
278436,2021,391200YTK6VMV8JTZV90-2021-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2021/yoc_Konzernabschluss_2022-05-10_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2022-05-10,3641556,3.472858428955078,2025-02-01 10:41:03.681410,2025-02-01 10:41:03.695439
317079,2023,Prüfbericht Einzelabschluss Scout24 SE Stand 18.3.204.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/317079/2023/scout24_Jahresabschluss_2024-04-12_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-04-12,231051,0.22034740447998047,2025-02-01 13:19:49.978468,2025-02-01 13:19:50.100437
233158,2023,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/233158/2023/infas_holding_2024-04-30_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-04-30,1454791,1.3873968124389648,2025-02-01 06:51:04.591592,2025-02-01 06:51:04.808889
317079,2022,scout24-2022-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/317079/2022/scout24_Konzernabschluss_2023-05-17_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2023-05-17,1390744,1.3263168334960938,2025-02-01 13:19:14.416988,2025-02-01 13:19:14.430374
317079,2022,Scout24 SE-2022-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/317079/2022/scout24_Jahresabschluss_2023-05-17_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-05-17,1056991,1.0080251693725586,2025-02-01 13:19:58.173553,2025-02-01 13:19:58.236101
233158,2020,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/233158/2020/infas_holding_2021-06-28_esef_xmls,ESEF,True,ESEF Report XHTML file,2021-06-28,1687693,1.6095094680786133,2025-02-01 06:52:46.012340,2025-02-01 06:52:46.133240
233158,2023,894500H144ZW4YW6FJ39-2023-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/233158/2023/infas_holding_2024-05-03_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2024-05-03,2792613,2.663243293762207,2025-02-01 06:50:48.935145,2025-02-01 06:50:48.951613
233158,2021,894500H144ZW4YW6FJ39-2021-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/233158/2021/infas_holding_2022-05-20_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2022-05-20,2272609,2.1673288345336914,2025-02-01 06:52:25.470760,2025-02-01 06:52:25.486397
278436,2023,391200YTK6VMV8JTZV90-2023-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2023/yoc_Jahres-_2024-05-10_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2024-05-10,3975446,3.791280746459961,2025-02-01 10:40:32.245344,2025-02-01 10:40:32.274183
247471,2020,vivanco-2020-12-31.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/247471/2020/vivanco_gruppe_2021-09-07_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2021-09-07,278539,0.26563549041748047,2025-02-01 08:51:20.756561,2025-02-01 08:51:20.803647
247471,2020,Ergaenzungsauftrag_20210812.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/247471/2020/vivanco_gruppe_2021-09-13_esef_xmls,ESEF,True,ESEF Report XHTML file,2021-09-13,7272,0.00693511962890625,2025-02-01 08:50:47.963071,2025-02-01 08:50:48.011756
247471,2020,Ergaenzungsauftrag_20210812.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/247471/2020/vivanco_gruppe_2021-08-18_esef_xmls,ESEF,True,ESEF Report XHTML file,2021-08-18,7272,0.00693511962890625,2025-02-01 08:51:54.981029,2025-02-01 08:51:55.066250
267620,2022,dzbankkonzern_2022-12-31_VgV.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/267620/2022/dz_bank_2023-03-30_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-03-30,225355,0.21491527557373047,2025-02-01 09:31:15.142441,2025-02-01 09:31:15.199878
